,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,start_order
6056,2024-07-30T11:46:18+02:00,VBVWTEAM2-------------GPA-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---EGY01,Marwa/D. Elghobashy,Team,EGY,Egypt,0,POINTS,L,,2
5548,2024-07-30T16:53:11+02:00,VBVWTEAM2-------------GPE-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---BRA02,Carol/Barbara,Team,BRA,Brazil,2,POINTS,W,,1
5549,2024-07-30T16:53:11+02:00,VBVWTEAM2-------------GPE-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---LTU01,Paulikiene/Raupelyte,Team,LTU,Lithuania,0,POINTS,L,,2
584,2024-07-30T21:40:16+02:00,VBVWTEAM2-------------GPA-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---BRA01,Ana Patricia/Duda,Team,BRA,Brazil,2,POINTS,W,,1
585,2024-07-30T21:40:16+02:00,VBVWTEAM2-------------GPA-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ESP02,Liliana/Paula,Team,ESP,Spain,0,POINTS,L,,2
316,2024-07-30T22:48:52+02:00,VBVWTEAM2-------------GPE-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---NED01,Stam/Schoon,Team,NED,Netherlands,2,POINTS,W,,1
317,2024-07-30T22:48:52+02:00,VBVWTEAM2-------------GPE-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---JPN01,Akiko/Ishii,Team,JPN,Japan,0,POINTS,L,,2
4583,2024-07-31T10:38:12+02:00,VBVWTEAM2-------------GPF-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---SUI01,Huberli/Brunner,Team,SUI,Switzerland,2,POINTS,W,,1
4584,2024-07-31T10:38:12+02:00,VBVWTEAM2-------------GPF-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---GER02,Ludwig/Lippmann,Team,GER,Germany,0,POINTS,L,,2
9561,2024-07-31T11:40:28+02:00,VBVWTEAM2-------------GPC-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---GER01,Muller/Tillmann,Team,GER,Germany,2,POINTS,W,,1
9562,2024-07-31T11:40:28+02:00,VBVWTEAM2-------------GPC-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CZE01,Hermannova/Stochlova,Team,CZE,Czechia,0,POINTS,L,,2
7480,2024-07-31T12:43:28+02:00,VBVWTEAM2-------------GPD-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---LAT01,Tina/Anastasija,Team,LAT,Latvia,2,POINTS,W,,1
7481,2024-07-31T12:43:28+02:00,VBVWTEAM2-------------GPD-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---PAR01,Poletti/Michelle,Team,PAR,Paraguay,0,POINTS,L,,2
4894,2024-07-31T14:30:08+02:00,VBVWTEAM2-------------GPB-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CHN01,Xue/X.Y.Xia,Team,CHN,China,2,POINTS,W,,1
4895,2024-07-31T14:30:08+02:00,VBVWTEAM2-------------GPB-000300--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CAN02,Bansley/Bukovec,Team,CAN,Canada,0,POINTS,L,,2
11082,2024-07-31T15:52:21+02:00,VBVWTEAM2-------------GPC-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---USA02,Hughes/Cheng,Team,USA,United States,2,POINTS,W,,1
11083,2024-07-31T15:52:21+02:00,VBVWTEAM2-------------GPC-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---FRA01,Vieira/Chamereau,Team,FRA,France,0,POINTS,L,,2
2649,2024-07-31T21:01:42+02:00,VBVWTEAM2-------------GPF-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---FRA02,Placette/Richard,Team,FRA,France,0,POINTS,L,,1
2650,2024-07-31T21:01:42+02:00,VBVWTEAM2-------------GPF-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ESP01,Alvarez M/Moreno,Team,ESP,Spain,2,POINTS,W,,2
12350,2024-07-31T22:34:53+02:00,VBVWTEAM2-------------GPD-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CAN01,Melissa/Brandie,Team,CAN,Canada,1,POINTS,L,,1
12351,2024-07-31T22:34:53+02:00,VBVWTEAM2-------------GPD-000400--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---SUI02,Esmee/Zoe,Team,SUI,Switzerland,2,POINTS,W,,2
576,2024-08-01T11:49:30+02:00,VBVWTEAM2-------------GPA-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ESP02,Liliana/Paula,Team,ESP,Spain,2,POINTS,W,,1
577,2024-08-01T11:49:30+02:00,VBVWTEAM2-------------GPA-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---EGY01,Marwa/D. Elghobashy,Team,EGY,Egypt,0,POINTS,L,,2
3137,2024-08-01T16:54:57+02:00,VBVWTEAM2-------------GPB-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---AUS01,Mariafe/Clancy,Team,AUS,Australia,2,POINTS,W,,1
3138,2024-08-01T16:54:57+02:00,VBVWTEAM2-------------GPB-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CAN02,Bansley/Bukovec,Team,CAN,Canada,0,POINTS,L,,2
10127,2024-08-01T20:41:54+02:00,VBVWTEAM2-------------GPA-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---BRA01,Ana Patricia/Duda,Team,BRA,Brazil,2,POINTS,W,,1
10128,2024-08-01T20:41:54+02:00,VBVWTEAM2-------------GPA-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool A,Preliminary Phase - Pool A,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ITA01,Gottardi/Menegatti,Team,ITA,Italy,0,POINTS,L,,2
7837,2024-08-02T00:14:03+02:00,VBVWTEAM2-------------GPB-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---USA01,Nuss/Kloth,Team,USA,United States,2,POINTS,W,,1
7838,2024-08-02T00:14:03+02:00,VBVWTEAM2-------------GPB-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CHN01,Xue/X.Y.Xia,Team,CHN,China,1,POINTS,L,,2
299,2024-08-02T09:36:33+02:00,VBVWTEAM2-------------GPE-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---LTU01,Paulikiene/Raupelyte,Team,LTU,Lithuania,0,POINTS,L,,1
300,2024-08-02T09:36:33+02:00,VBVWTEAM2-------------GPE-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---JPN01,Akiko/Ishii,Team,JPN,Japan,2,POINTS,W,,2
11066,2024-08-02T13:12:18+02:00,VBVWTEAM2-------------GPC-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---FRA01,Vieira/Chamereau,Team,FRA,France,1,POINTS,L,,1
11067,2024-08-02T13:12:18+02:00,VBVWTEAM2-------------GPC-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CZE01,Hermannova/Stochlova,Team,CZE,Czechia,2,POINTS,W,,2
9828,2024-08-02T18:15:23+02:00,VBVWTEAM2-------------GPE-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---BRA02,Carol/Barbara,Team,BRA,Brazil,2,POINTS,W,,1
9829,2024-08-02T18:15:23+02:00,VBVWTEAM2-------------GPE-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---NED01,Stam/Schoon,Team,NED,Netherlands,1,POINTS,L,,2
5169,2024-08-02T22:44:01+02:00,VBVWTEAM2-------------GPC-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---USA02,Hughes/Cheng,Team,USA,United States,2,POINTS,W,,1
5170,2024-08-02T22:44:01+02:00,VBVWTEAM2-------------GPC-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---GER01,Muller/Tillmann,Team,GER,Germany,0,POINTS,L,,2
12344,2024-08-03T12:06:38+02:00,VBVWTEAM2-------------GPD-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---SUI02,Esmee/Zoe,Team,SUI,Switzerland,2,POINTS,W,,1
12345,2024-08-03T12:06:38+02:00,VBVWTEAM2-------------GPD-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---PAR01,Poletti/Michelle,Team,PAR,Paraguay,1,POINTS,L,,2
2643,2024-08-03T13:00:54+02:00,VBVWTEAM2-------------GPF-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ESP01,Alvarez M/Moreno,Team,ESP,Spain,2,POINTS,W,,1
2644,2024-08-03T13:00:54+02:00,VBVWTEAM2-------------GPF-000500--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---GER02,Ludwig/Lippmann,Team,GER,Germany,0,POINTS,L,,2
7202,2024-08-03T16:36:17+02:00,VBVWTEAM2-------------GPF-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---FRA02,Placette/Richard,Team,FRA,France,0,POINTS,L,,1
7203,2024-08-03T16:36:17+02:00,VBVWTEAM2-------------GPF-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---SUI01,Huberli/Brunner,Team,SUI,Switzerland,2,POINTS,W,,2
4676,2024-08-03T17:45:58+02:00,VBVWTEAM2-------------GPD-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CAN01,Melissa/Brandie,Team,CAN,Canada,0,POINTS,L,,1
4677,2024-08-03T17:45:58+02:00,VBVWTEAM2-------------GPD-000600--,VBVWTEAM2,Women,Women's Preliminary Phase - Pool D,Preliminary Phase - Pool D,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---LAT01,Tina/Anastasija,Team,LAT,Latvia,2,POINTS,W,,2
12874,2024-08-03T21:43:56+02:00,VBVWTEAM2-------------LL--000200--,VBVWTEAM2,Women,Women's lucky loser round,Lucky loser round,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---JPN01,Akiko/Ishii,Team,JPN,Japan,2,POINTS,W,,1
12875,2024-08-03T21:43:56+02:00,VBVWTEAM2-------------LL--000200--,VBVWTEAM2,Women,Women's lucky loser round,Lucky loser round,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---FRA02,Placette/Richard,Team,FRA,France,0,POINTS,L,,2
3552,2024-08-03T22:45:26+02:00,VBVWTEAM2-------------LL--000100--,VBVWTEAM2,Women,Women's lucky loser round,Lucky loser round,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CAN01,Melissa/Brandie,Team,CAN,Canada,2,POINTS,W,,1
3553,2024-08-03T22:45:26+02:00,VBVWTEAM2-------------LL--000100--,VBVWTEAM2,Women,Women's lucky loser round,Lucky loser round,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CZE01,Hermannova/Stochlova,Team,CZE,Czechia,0,POINTS,L,,2
1597,2024-08-04T09:55:04+02:00,VBVWTEAM2-------------8FNL000400--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---CHN01,Xue/X.Y.Xia,Team,CHN,China,0,POINTS,L,,1
1598,2024-08-04T09:55:04+02:00,VBVWTEAM2-------------8FNL000400--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---SUI02,Esmee/Zoe,Team,SUI,Switzerland,2,POINTS,W,,2
6619,2024-08-04T17:53:04+02:00,VBVWTEAM2-------------8FNL000300--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---BRA02,Carol/Barbara,Team,BRA,Brazil,0,POINTS,L,,1
6620,2024-08-04T17:53:04+02:00,VBVWTEAM2-------------8FNL000300--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---AUS01,Mariafe/Clancy,Team,AUS,Australia,2,POINTS,W,,2
9380,2024-08-04T18:55:09+02:00,VBVWTEAM2-------------8FNL000600--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ESP02,Liliana/Paula,Team,ESP,Spain,0,POINTS,L,,1
9381,2024-08-04T18:55:09+02:00,VBVWTEAM2-------------8FNL000600--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---SUI01,Huberli/Brunner,Team,SUI,Switzerland,2,POINTS,W,,2
1579,2024-08-04T23:07:57+02:00,VBVWTEAM2-------------8FNL000500--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---USA02,Hughes/Cheng,Team,USA,United States,2,POINTS,W,,1
1580,2024-08-04T23:07:57+02:00,VBVWTEAM2-------------8FNL000500--,VBVWTEAM2,Women,Women's Round of 16,Round of 16,FINISHED,W,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVWTEAM2---ITA01,Gottardi/Menegatti,Team,ITA,Italy,1,POINTS,L,,2
