,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
9491,2024-07-29T21:59:35+02:00,TTEMSINGLES-----------R32-000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1976250,MINO Alberto,Person,ECU,Ecuador,0,POINTS,L
9484,2024-07-29T22:03:41+02:00,TTEMSINGLES-----------R32-000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1803711,KAO Cheng-Jui,Person,TPE,Chinese Taipei,4,POINTS,W
9485,2024-07-29T22:03:41+02:00,TTEMSINGLES-----------R32-000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1541473,IONESCU Eduard,Person,ROU,Romania,1,POINTS,L
5514,2024-07-29T22:38:09+02:00,TTEMSINGLES-----------R32-000700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889176,LEBRUN Alexis,Person,FRA,France,4,POINTS,W
5515,2024-07-29T22:38:09+02:00,TTEMSINGLES-----------R32-000700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1565008,PUCAR Tomislav,Person,CRO,Croatia,0,POINTS,L
11198,2024-07-29T23:01:35+02:00,TTEMSINGLES-----------R32-000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1936418,JANG Woojin,Person,KOR,Korea,4,POINTS,W
11199,2024-07-29T23:01:35+02:00,TTEMSINGLES-----------R32-000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1879345,GROTH Jonathan,Person,DEN,Denmark,1,POINTS,L
5488,2024-07-30T10:56:57+02:00,TTEMSINGLES-----------R32-000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980867,KOZUL Deni,Person,SLO,Slovenia,2,POINTS,L
5489,2024-07-30T10:56:57+02:00,TTEMSINGLES-----------R32-000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931109,TOGAMI Shunsuke,Person,JPN,Japan,4,POINTS,W
3546,2024-07-30T10:57:08+02:00,TTEMSINGLES-----------R32-001000--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958386,ISHIY Vitor,Person,BRA,Brazil,1,POINTS,L
3547,2024-07-30T10:57:08+02:00,TTEMSINGLES-----------R32-001000--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1542541,OVTCHAROV Dimitrij,Person,GER,Germany,4,POINTS,W
12840,2024-07-30T11:50:15+02:00,TTEMSINGLES-----------R32-001200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1565009,GACINA Andrej,Person,CRO,Croatia,0,POINTS,L
12841,2024-07-30T11:50:15+02:00,TTEMSINGLES-----------R32-001200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1800795,LIN Yun-Ju,Person,TPE,Chinese Taipei,4,POINTS,W
8892,2024-07-30T12:01:53+02:00,TTEMSINGLES-----------R32-000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563520,ROBLES Alvaro,Person,ESP,Spain,2,POINTS,L
8893,2024-07-30T12:01:53+02:00,TTEMSINGLES-----------R32-000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,4,POINTS,W
3521,2024-07-31T10:47:43+02:00,TTEMSINGLES-----------R32-001100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980863,JORGIC Darko,Person,SLO,Slovenia,4,POINTS,W
3522,2024-07-31T10:47:43+02:00,TTEMSINGLES-----------R32-001100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1544203,PITCHFORD Liam,Person,GBR,Great Britain,2,POINTS,L
93,2024-07-31T11:00:59+02:00,TTEMSINGLES-----------R32-000100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902301,WANG Chuqin,Person,CHN,China,2,POINTS,L
94,2024-07-31T11:00:59+02:00,TTEMSINGLES-----------R32-000100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563390,MOREGARD Truls,Person,SWE,Sweden,4,POINTS,W
12844,2024-07-31T11:56:47+02:00,TTEMSINGLES-----------R32-001300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931099,HARIMOTO Tomokazu,Person,JPN,Japan,4,POINTS,W
12845,2024-07-31T11:56:47+02:00,TTEMSINGLES-----------R32-001300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1536215,ALAMIYAN Noshad,Person,IRI,IR Iran,2,POINTS,L
8120,2024-07-31T12:04:31+02:00,TTEMSINGLES-----------R32-001400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1954543,REDZIMSKI Milosz,Person,POL,Poland,3,POINTS,L
8121,2024-07-31T12:04:31+02:00,TTEMSINGLES-----------R32-001400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1879343,LIND Anders,Person,DEN,Denmark,4,POINTS,W
1927,2024-07-31T12:47:14+02:00,TTEMSINGLES-----------R32-001600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1962225,WONG Chun Ting,Person,HKG,"Hong Kong, China",1,POINTS,L
1928,2024-07-31T12:47:14+02:00,TTEMSINGLES-----------R32-001600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902295,FAN Zhendong,Person,CHN,China,4,POINTS,W
8110,2024-07-31T13:10:53+02:00,TTEMSINGLES-----------R32-001500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1930828,JHA Kanak,Person,USA,United States,4,POINTS,W
8111,2024-07-31T13:10:53+02:00,TTEMSINGLES-----------R32-001500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1961352,GIONIS Panagiotis,Person,GRE,Greece,2,POINTS,L
5534,2024-07-31T16:03:07+02:00,TTEMSINGLES-----------8FNL000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902703,ASSAR Omar,Person,EGY,Egypt,4,POINTS,W
5535,2024-07-31T16:03:07+02:00,TTEMSINGLES-----------8FNL000200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1933504,GERASSIMENKO Kirill,Person,KAZ,Kazakhstan,2,POINTS,L
287,2024-07-31T16:06:01+02:00,TTEMSINGLES-----------8FNL000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889177,LEBRUN Felix,Person,FRA,France,4,POINTS,W
288,2024-07-31T16:06:01+02:00,TTEMSINGLES-----------8FNL000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1542541,OVTCHAROV Dimitrij,Person,GER,Germany,3,POINTS,L
312,2024-07-31T17:01:09+02:00,TTEMSINGLES-----------8FNL000400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889176,LEBRUN Alexis,Person,FRA,France,1,POINTS,L
313,2024-07-31T17:01:09+02:00,TTEMSINGLES-----------8FNL000400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,4,POINTS,W
5542,2024-07-31T17:05:26+02:00,TTEMSINGLES-----------8FNL000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1936418,JANG Woojin,Person,KOR,Korea,4,POINTS,W
5543,2024-07-31T17:05:26+02:00,TTEMSINGLES-----------8FNL000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931109,TOGAMI Shunsuke,Person,JPN,Japan,0,POINTS,L
9834,2024-07-31T17:48:49+02:00,TTEMSINGLES-----------8FNL000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980863,JORGIC Darko,Person,SLO,Slovenia,0,POINTS,L
9835,2024-07-31T17:48:49+02:00,TTEMSINGLES-----------8FNL000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1800795,LIN Yun-Ju,Person,TPE,Chinese Taipei,4,POINTS,W
11367,2024-07-31T20:57:09+02:00,TTEMSINGLES-----------8FNL000100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563390,MOREGARD Truls,Person,SWE,Sweden,4,POINTS,W
11368,2024-07-31T20:57:09+02:00,TTEMSINGLES-----------8FNL000100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1803711,KAO Cheng-Jui,Person,TPE,Chinese Taipei,1,POINTS,L
9849,2024-07-31T21:53:38+02:00,TTEMSINGLES-----------8FNL000700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931099,HARIMOTO Tomokazu,Person,JPN,Japan,4,POINTS,W
9850,2024-07-31T21:53:38+02:00,TTEMSINGLES-----------8FNL000700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1879343,LIND Anders,Person,DEN,Denmark,1,POINTS,L
6185,2024-07-31T22:46:52+02:00,TTEMSINGLES-----------8FNL000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1930828,JHA Kanak,Person,USA,United States,0,POINTS,L
6186,2024-07-31T22:46:52+02:00,TTEMSINGLES-----------8FNL000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 16,Round of 16,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902295,FAN Zhendong,Person,CHN,China,4,POINTS,W
1052,2024-08-01T11:33:55+02:00,TTEMSINGLES-----------QFNL000200--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1936418,JANG Woojin,Person,KOR,Korea,0,POINTS,L
1053,2024-08-01T11:33:55+02:00,TTEMSINGLES-----------QFNL000200--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,4,POINTS,W
1058,2024-08-01T16:20:20+02:00,TTEMSINGLES-----------QFNL000300--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889177,LEBRUN Felix,Person,FRA,France,4,POINTS,W
1059,2024-08-01T16:20:20+02:00,TTEMSINGLES-----------QFNL000300--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1800795,LIN Yun-Ju,Person,TPE,Chinese Taipei,3,POINTS,L
6346,2024-08-01T18:23:55+02:00,TTEMSINGLES-----------QFNL000400--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931099,HARIMOTO Tomokazu,Person,JPN,Japan,3,POINTS,L
6347,2024-08-01T18:23:55+02:00,TTEMSINGLES-----------QFNL000400--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902295,FAN Zhendong,Person,CHN,China,4,POINTS,W
8711,2024-08-01T22:11:14+02:00,TTEMSINGLES-----------QFNL000100--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563390,MOREGARD Truls,Person,SWE,Sweden,4,POINTS,W
8712,2024-08-01T22:11:14+02:00,TTEMSINGLES-----------QFNL000100--,TTEMSINGLES,Men's Singles,Men's Singles Quarterfinal,Quarterfinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902703,ASSAR Omar,Person,EGY,Egypt,1,POINTS,L
11697,2024-08-02T11:38:43+02:00,TTEMSINGLES-----------SFNL000200--,TTEMSINGLES,Men's Singles,Men's Singles Semifinal,Semifinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889177,LEBRUN Felix,Person,FRA,France,0,POINTS,L
11698,2024-08-02T11:38:43+02:00,TTEMSINGLES-----------SFNL000200--,TTEMSINGLES,Men's Singles,Men's Singles Semifinal,Semifinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902295,FAN Zhendong,Person,CHN,China,4,POINTS,W
5945,2024-08-02T15:44:13+02:00,TTEMSINGLES-----------SFNL000100--,TTEMSINGLES,Men's Singles,Men's Singles Semifinal,Semifinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563390,MOREGARD Truls,Person,SWE,Sweden,4,POINTS,W
5946,2024-08-02T15:44:13+02:00,TTEMSINGLES-----------SFNL000100--,TTEMSINGLES,Men's Singles,Men's Singles Semifinal,Semifinal,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,2,POINTS,L
11494,2024-08-04T14:05:34+02:00,TTEMSINGLES-----------FNL-000200--,TTEMSINGLES,Men's Singles,Men's Singles Bronze Medal Match,Bronze Medal Match,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,0,POINTS,L
11495,2024-08-04T14:05:34+02:00,TTEMSINGLES-----------FNL-000200--,TTEMSINGLES,Men's Singles,Men's Singles Bronze Medal Match,Bronze Medal Match,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1889177,LEBRUN Felix,Person,FRA,France,4,POINTS,W
5735,2024-08-04T15:25:11+02:00,TTEMSINGLES-----------FNL-000100--,TTEMSINGLES,Men's Singles,Men's Singles Gold Medal Match,Gold Medal Match,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563390,MOREGARD Truls,Person,SWE,Sweden,1,POINTS,L
5736,2024-08-04T15:25:11+02:00,TTEMSINGLES-----------FNL-000100--,TTEMSINGLES,Men's Singles,Men's Singles Gold Medal Match,Gold Medal Match,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902295,FAN Zhendong,Person,CHN,China,4,POINTS,W
8090,2024-07-27T17:19:12+02:00,TTEXDOUBLES-----------8FNL000100--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-CHN01,WANG Chuqin / SUN Yingsha,Team,CHN,China,4,POINTS,W
8091,2024-07-27T17:19:12+02:00,TTEXDOUBLES-----------8FNL000100--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-EGY01,ASSAR Omar / MESHREF Dina,Team,EGY,Egypt,0,POINTS,L
1775,2024-07-27T17:26:06+02:00,TTEXDOUBLES-----------8FNL000300--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-ROU01,IONESCU Ovidiu / SZOCS Bernadette,Team,ROU,Romania,4,POINTS,W
1776,2024-07-27T17:26:06+02:00,TTEXDOUBLES-----------8FNL000300--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-AUS01,LUM Nicholas / JEE Minhyung,Team,AUS,Australia,1,POINTS,L
3574,2024-07-27T17:26:10+02:00,TTEXDOUBLES-----------8FNL000400--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-GER01,QIU Dang / MITTELHAM Nina,Team,GER,Germany,0,POINTS,L
3575,2024-07-27T17:26:10+02:00,TTEXDOUBLES-----------8FNL000400--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-KOR01,LIM Jonghoon / SHIN Yubin,Team,KOR,Korea,4,POINTS,W
2551,2024-07-27T17:35:49+02:00,TTEXDOUBLES-----------8FNL000800--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-PRK01,RI Jong Sik / KIM Kum Yong,Team,PRK,DPR Korea,4,POINTS,W
2552,2024-07-27T17:35:49+02:00,TTEXDOUBLES-----------8FNL000800--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-JPN01,HARIMOTO Tomokazu / HAYATA Hina,Team,JPN,Japan,1,POINTS,L
12986,2024-07-27T18:24:06+02:00,TTEXDOUBLES-----------8FNL000700--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-SWE01,KARLSSON Kristian / KALLBERG Christina,Team,SWE,Sweden,4,POINTS,W
12987,2024-07-27T18:24:06+02:00,TTEXDOUBLES-----------8FNL000700--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-CUB01,CAMPOS Jorge / FONSECA Daniela,Team,CUB,Cuba,1,POINTS,L
3562,2024-07-27T18:24:13+02:00,TTEXDOUBLES-----------8FNL000500--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-HKG01,WONG Chun Ting / DOO Hoi Kem,Team,HKG,"Hong Kong, China",4,POINTS,W
3563,2024-07-27T18:24:13+02:00,TTEXDOUBLES-----------8FNL000500--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-HUN01,ECSEKI Nandor / MADARASZ Dora,Team,HUN,Hungary,1,POINTS,L
1763,2024-07-27T18:34:06+02:00,TTEXDOUBLES-----------8FNL000200--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-FRA01,LEBRUN Alexis / YUAN Jia Nan,Team,FRA,France,2,POINTS,L
1764,2024-07-27T18:34:06+02:00,TTEXDOUBLES-----------8FNL000200--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-TPE01,LIN Yun-Ju / CHEN Szu-Yu,Team,TPE,Chinese Taipei,4,POINTS,W
12976,2024-07-27T18:34:11+02:00,TTEXDOUBLES-----------8FNL000600--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-BRA01,ISHIY Vitor / TAKAHASHI Bruna,Team,BRA,Brazil,2,POINTS,L
12977,2024-07-27T18:34:11+02:00,TTEXDOUBLES-----------8FNL000600--,TTEXDOUBLES,Mixed Doubles,Mixed Doubles Round of 16,Round of 16,FINISHED,X,Table Tennis,TTE,South Paris Arena 4,TTEXDOUBLES-ESP01,ROBLES Alvaro / XIAO Maria,Team,ESP,Spain,4,POINTS,W
