,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
4915,2024-07-29T13:47:43+02:00,WPOMTEAM7-------------GPB-000100--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---AUS01,Australia,Team,AUS,Australia,5,POINTS,L,1
4916,2024-07-29T13:47:43+02:00,WPOMTEAM7-------------GPB-000100--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ESP01,Spain,Team,ESP,Spain,9,POINTS,W,2
12539,2024-07-29T13:48:19+02:00,WPOMTEAM7-------------GPB-000200--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---SRB01,Serbia,Team,SRB,Serbia,16,POINTS,W,1
12540,2024-07-29T13:48:19+02:00,WPOMTEAM7-------------GPB-000200--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---JPN01,Japan,Team,JPN,Japan,15,POINTS,L,2
6034,2024-07-29T13:48:29+02:00,WPOMTEAM7-------------GPA-000100--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ITA01,Italy,Team,ITA,Italy,12,POINTS,W,1
6035,2024-07-29T13:48:29+02:00,WPOMTEAM7-------------GPA-000100--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---USA01,United States of America,Team,USA,United States,8,POINTS,L,2
11960,2024-07-29T13:48:35+02:00,WPOMTEAM7-------------GPA-000200--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---CRO01,Croatia,Team,CRO,Croatia,11,POINTS,W,1
11961,2024-07-29T13:48:35+02:00,WPOMTEAM7-------------GPA-000200--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---MNE01,Montenegro,Team,MNE,Montenegro,8,POINTS,L,2
11926,2024-07-29T13:48:45+02:00,WPOMTEAM7-------------GPA-000300--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ROU01,Romania,Team,ROU,Romania,7,POINTS,L,1
11927,2024-07-29T13:48:45+02:00,WPOMTEAM7-------------GPA-000300--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---GRE01,Greece,Team,GRE,Greece,14,POINTS,W,2
12525,2024-07-29T23:44:47+02:00,WPOMTEAM7-------------GPB-000300--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---FRA01,France,Team,FRA,France,12,POINTS,L,1
12526,2024-07-29T23:44:47+02:00,WPOMTEAM7-------------GPB-000300--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---HUN01,Hungary,Team,HUN,Hungary,13,POINTS,W,2
7687,2024-07-30T11:38:44+02:00,WPOMTEAM7-------------GPB-000400--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---AUS01,Australia,Team,AUS,Australia,8,POINTS,W,1
7688,2024-07-30T11:38:44+02:00,WPOMTEAM7-------------GPB-000400--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---SRB01,Serbia,Team,SRB,Serbia,3,POINTS,L,2
7746,2024-07-30T16:13:03+02:00,WPOMTEAM7-------------GPB-000500--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---JPN01,Japan,Team,JPN,Japan,13,POINTS,L,1
7747,2024-07-30T16:13:03+02:00,WPOMTEAM7-------------GPB-000500--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---FRA01,France,Team,FRA,France,14,POINTS,W,2
10232,2024-07-30T17:48:05+02:00,WPOMTEAM7-------------GPA-000500--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---USA01,United States of America,Team,USA,United States,14,POINTS,W,1
10233,2024-07-30T17:48:05+02:00,WPOMTEAM7-------------GPA-000500--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ROU01,Romania,Team,ROU,Romania,8,POINTS,L,2
3191,2024-07-30T22:28:15+02:00,WPOMTEAM7-------------GPB-000600--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ESP01,Spain,Team,ESP,Spain,10,POINTS,W,1
3192,2024-07-30T22:28:15+02:00,WPOMTEAM7-------------GPB-000600--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---HUN01,Hungary,Team,HUN,Hungary,7,POINTS,L,2
10230,2024-07-30T23:08:44+02:00,WPOMTEAM7-------------GPA-000400--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---CRO01,Croatia,Team,CRO,Croatia,11,POINTS,L,1
10231,2024-07-30T23:08:44+02:00,WPOMTEAM7-------------GPA-000400--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ITA01,Italy,Team,ITA,Italy,14,POINTS,W,2
558,2024-08-01T11:47:28+02:00,WPOMTEAM7-------------GPA-000700--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---GRE01,Greece,Team,GRE,Greece,13,POINTS,W,1
559,2024-08-01T11:47:28+02:00,WPOMTEAM7-------------GPA-000700--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---USA01,United States of America,Team,USA,United States,11,POINTS,L,2
3167,2024-08-01T13:25:52+02:00,WPOMTEAM7-------------GPB-000700--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---SRB01,Serbia,Team,SRB,Serbia,11,POINTS,L,1
3168,2024-08-01T13:25:52+02:00,WPOMTEAM7-------------GPB-000700--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ESP01,Spain,Team,ESP,Spain,15,POINTS,W,2
562,2024-08-01T13:42:40+02:00,WPOMTEAM7-------------GPA-000600--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---MNE01,Montenegro,Team,MNE,Montenegro,16,POINTS,L,1
563,2024-08-01T13:42:40+02:00,WPOMTEAM7-------------GPA-000600--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---GRE01,Greece,Team,GRE,Greece,17,POINTS,W,2
13225,2024-08-01T16:11:44+02:00,WPOMTEAM7-------------GPB-000800--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---FRA01,France,Team,FRA,France,8,POINTS,L,1
13226,2024-08-01T16:11:44+02:00,WPOMTEAM7-------------GPB-000800--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---AUS01,Australia,Team,AUS,Australia,9,POINTS,W,2
10602,2024-08-01T17:54:30+02:00,WPOMTEAM7-------------GPA-000800--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ITA01,Italy,Team,ITA,Italy,11,POINTS,W,1
10603,2024-08-01T17:54:30+02:00,WPOMTEAM7-------------GPA-000800--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---MNE01,Montenegro,Team,MNE,Montenegro,9,POINTS,L,2
10588,2024-08-01T20:35:49+02:00,WPOMTEAM7-------------GPA-000900--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ROU01,Romania,Team,ROU,Romania,8,POINTS,L,1
10589,2024-08-01T20:35:49+02:00,WPOMTEAM7-------------GPA-000900--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---CRO01,Croatia,Team,CRO,Croatia,11,POINTS,W,2
13209,2024-08-01T22:18:03+02:00,WPOMTEAM7-------------GPB-000900--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---HUN01,Hungary,Team,HUN,Hungary,17,POINTS,W,1
13210,2024-08-01T22:18:03+02:00,WPOMTEAM7-------------GPB-000900--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---JPN01,Japan,Team,JPN,Japan,10,POINTS,L,2
1262,2024-08-03T11:38:23+02:00,WPOMTEAM7-------------GPB-001000--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ESP01,Spain,Team,ESP,Spain,23,POINTS,W,1
1263,2024-08-03T11:38:23+02:00,WPOMTEAM7-------------GPB-001000--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---JPN01,Japan,Team,JPN,Japan,8,POINTS,L,2
2053,2024-08-03T13:33:12+02:00,WPOMTEAM7-------------GPA-001000--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---CRO01,Croatia,Team,CRO,Croatia,14,POINTS,W,1
2054,2024-08-03T13:33:12+02:00,WPOMTEAM7-------------GPA-001000--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---GRE01,Greece,Team,GRE,Greece,13,POINTS,L,2
1270,2024-08-03T16:08:55+02:00,WPOMTEAM7-------------GPB-001100--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---AUS01,Australia,Team,AUS,Australia,9,POINTS,W,1
1271,2024-08-03T16:08:55+02:00,WPOMTEAM7-------------GPB-001100--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---HUN01,Hungary,Team,HUN,Hungary,8,POINTS,L,2
2055,2024-08-03T17:53:38+02:00,WPOMTEAM7-------------GPA-001100--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---MNE01,Montenegro,Team,MNE,Montenegro,7,POINTS,L,1
2056,2024-08-03T17:53:38+02:00,WPOMTEAM7-------------GPA-001100--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---USA01,United States of America,Team,USA,United States,12,POINTS,W,2
8976,2024-08-03T20:43:19+02:00,WPOMTEAM7-------------GPB-001200--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---SRB01,Serbia,Team,SRB,Serbia,15,POINTS,W,1
8977,2024-08-03T20:43:19+02:00,WPOMTEAM7-------------GPB-001200--,WPOMTEAM7,Men,Men's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---FRA01,France,Team,FRA,France,8,POINTS,L,2
8254,2024-08-03T22:17:41+02:00,WPOMTEAM7-------------GPA-001200--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ITA01,Italy,Team,ITA,Italy,18,POINTS,W,1
8255,2024-08-03T22:17:41+02:00,WPOMTEAM7-------------GPA-001200--,WPOMTEAM7,Men,Men's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,M,Water Polo,WPO,Aquatics Centre,WPOMTEAM7---ROU01,Romania,Team,ROU,Romania,7,POINTS,L,2
1377,2024-07-28T23:50:34+02:00,WPOWTEAM7-------------GPA-000100--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---NED01,Netherlands,Team,NED,Netherlands,10,POINTS,W,1
1378,2024-07-28T23:50:34+02:00,WPOWTEAM7-------------GPA-000100--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---HUN01,Hungary,Team,HUN,Hungary,8,POINTS,L,2
2247,2024-07-28T23:50:48+02:00,WPOWTEAM7-------------GPB-000100--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,6,POINTS,L,1
2248,2024-07-28T23:50:48+02:00,WPOWTEAM7-------------GPB-000100--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---USA01,United States of America,Team,USA,United States,15,POINTS,W,2
8404,2024-07-28T23:50:56+02:00,WPOWTEAM7-------------GPB-000200--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ESP01,Spain,Team,ESP,Spain,15,POINTS,W,1
8405,2024-07-28T23:50:56+02:00,WPOWTEAM7-------------GPB-000200--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---FRA01,France,Team,FRA,France,6,POINTS,L,2
9221,2024-07-28T23:51:04+02:00,WPOWTEAM7-------------GPA-000200--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,7,POINTS,W,1
9222,2024-07-28T23:51:04+02:00,WPOWTEAM7-------------GPA-000200--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CHN01,People's Republic of China,Team,CHN,China,5,POINTS,L,2
8406,2024-07-29T15:08:10+02:00,WPOWTEAM7-------------GPB-000300--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---FRA01,France,Team,FRA,France,9,POINTS,W,1
8407,2024-07-29T15:08:10+02:00,WPOWTEAM7-------------GPB-000300--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,8,POINTS,L,2
13326,2024-07-29T16:44:44+02:00,WPOWTEAM7-------------GPB-000400--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---USA01,United States of America,Team,USA,United States,11,POINTS,L,1
13327,2024-07-29T16:44:44+02:00,WPOWTEAM7-------------GPB-000400--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ESP01,Spain,Team,ESP,Spain,13,POINTS,W,2
9344,2024-07-29T19:40:20+02:00,WPOWTEAM7-------------GPA-000300--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CHN01,People's Republic of China,Team,CHN,China,11,POINTS,L,1
9345,2024-07-29T19:40:20+02:00,WPOWTEAM7-------------GPA-000300--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---NED01,Netherlands,Team,NED,Netherlands,15,POINTS,W,2
11029,2024-07-29T21:16:39+02:00,WPOWTEAM7-------------GPA-000400--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---HUN01,Hungary,Team,HUN,Hungary,12,POINTS,W,1
11030,2024-07-29T21:16:39+02:00,WPOWTEAM7-------------GPA-000400--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CAN01,Canada,Team,CAN,Canada,7,POINTS,L,2
6814,2024-07-31T16:41:56+02:00,WPOWTEAM7-------------GPA-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CAN01,Canada,Team,CAN,Canada,12,POINTS,W,1
6815,2024-07-31T16:41:56+02:00,WPOWTEAM7-------------GPA-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CHN01,People's Republic of China,Team,CHN,China,7,POINTS,L,2
13267,2024-07-31T19:40:53+02:00,WPOWTEAM7-------------GPB-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,3,POINTS,L,1
13268,2024-07-31T19:40:53+02:00,WPOWTEAM7-------------GPB-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---USA01,United States of America,Team,USA,United States,10,POINTS,W,2
3972,2024-07-31T21:09:25+02:00,WPOWTEAM7-------------GPB-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ESP01,Spain,Team,ESP,Spain,10,POINTS,W,1
3973,2024-07-31T21:09:25+02:00,WPOWTEAM7-------------GPB-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,8,POINTS,L,2
11007,2024-08-01T13:44:16+02:00,WPOWTEAM7-------------GPA-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---NED01,Netherlands,Team,NED,Netherlands,14,POINTS,L,1
11008,2024-08-01T13:44:16+02:00,WPOWTEAM7-------------GPA-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,15,POINTS,W,2
6867,2024-08-02T15:12:17+02:00,WPOWTEAM7-------------GPA-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,10,POINTS,W,1
6868,2024-08-02T15:12:17+02:00,WPOWTEAM7-------------GPA-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CAN01,Canada,Team,CAN,Canada,7,POINTS,L,2
3982,2024-08-02T16:42:11+02:00,WPOWTEAM7-------------GPB-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,8,POINTS,L,1
3983,2024-08-02T16:42:11+02:00,WPOWTEAM7-------------GPB-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,12,POINTS,W,2
7360,2024-08-02T19:39:33+02:00,WPOWTEAM7-------------GPB-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---USA01,United States of America,Team,USA,United States,17,POINTS,W,1
7361,2024-08-02T19:39:33+02:00,WPOWTEAM7-------------GPB-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---FRA01,France,Team,FRA,France,5,POINTS,L,2
10089,2024-08-02T21:18:21+02:00,WPOWTEAM7-------------GPA-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CHN01,People's Republic of China,Team,CHN,China,11,POINTS,L,1
10090,2024-08-02T21:18:21+02:00,WPOWTEAM7-------------GPA-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---HUN01,Hungary,Team,HUN,Hungary,17,POINTS,W,2
10125,2024-08-04T15:18:02+02:00,WPOWTEAM7-------------GPA-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---HUN01,Hungary,Team,HUN,Hungary,12,POINTS,L,1
10126,2024-08-04T15:18:02+02:00,WPOWTEAM7-------------GPA-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,14,POINTS,W,2
7374,2024-08-04T16:42:56+02:00,WPOWTEAM7-------------GPB-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,11,POINTS,L,1
7375,2024-08-04T16:42:56+02:00,WPOWTEAM7-------------GPB-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ESP01,Spain,Team,ESP,Spain,13,POINTS,W,2
4700,2024-08-04T19:42:32+02:00,WPOWTEAM7-------------GPA-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CAN01,Canada,Team,CAN,Canada,11,POINTS,L,1
4701,2024-08-04T19:42:32+02:00,WPOWTEAM7-------------GPA-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---NED01,Netherlands,Team,NED,Netherlands,20,POINTS,W,2
5800,2024-08-04T21:11:16+02:00,WPOWTEAM7-------------GPB-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---FRA01,France,Team,FRA,France,4,POINTS,L,1
5801,2024-08-04T21:11:16+02:00,WPOWTEAM7-------------GPB-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,11,POINTS,W,2
